,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
4827,3,2.5,2420,7423.0,2.0,0,0,3,8,2420,0,1990,0,98092,47.3199,-122.186,2260,7629.0,339900
4828,1,1.5,810,3211.0,2.0,0,0,4,7,810,0,1982,0,98033,47.6939,-122.184,1320,3298.0,285000
4829,3,1.0,1600,5000.0,1.5,0,0,3,7,1110,490,1947,0,98107,47.655,-122.358,1380,5000.0,550000
4830,4,1.0,1350,9000.0,1.5,0,0,4,7,1350,0,1964,0,98103,47.6953,-122.332,1940,8000.0,430000
4831,3,1.0,970,7790.0,1.0,0,0,3,6,970,0,1967,0,98003,47.3165,-122.325,1150,8160.0,219000
4832,2,1.5,1780,4750.0,1.0,0,0,4,7,1080,700,1947,0,98117,47.6859,-122.395,1690,5962.0,555000
4833,3,2.0,1350,7686.0,1.0,0,0,3,7,1350,0,1989,0,98038,47.3609,-122.053,1470,7686.0,233000
4835,5,2.25,2550,9200.0,1.0,0,0,4,8,1580,970,1975,0,98166,47.4673,-122.363,2090,9200.0,454000
4836,4,2.5,1700,4418.0,2.0,0,0,3,8,1700,0,1931,2000,98112,47.6434,-122.3,2090,4174.0,950000
4837,3,2.5,2430,7857.0,2.0,0,0,5,8,1730,700,1980,0,98055,47.4546,-122.211,2160,8740.0,359000
4838,5,2.0,2740,8230.0,1.5,0,0,3,7,2210,530,1962,0,98155,47.7352,-122.297,2130,8232.0,407500
4839,3,1.5,1560,7300.0,1.0,0,0,4,7,1040,520,1964,0,98001,47.3427,-122.281,1460,7910.0,224000
4840,2,1.0,1040,4590.0,1.0,0,0,3,7,1040,0,1954,0,98146,47.5078,-122.337,1040,6120.0,210000
4841,4,1.75,1820,9824.0,1.0,0,0,5,7,1820,0,1968,0,98042,47.3833,-122.093,1410,11013.0,261000
4842,3,3.0,1833,1706.0,3.0,0,0,3,9,1833,0,1998,0,98115,47.6827,-122.325,1466,1455.0,719000
4843,3,2.5,2160,3738.0,2.0,0,0,3,8,2160,0,1994,0,98126,47.5661,-122.375,1500,4000.0,440000
4844,3,2.75,2100,10362.0,2.0,0,0,3,9,1510,590,1998,0,98045,47.4347,-121.417,2240,11842.0,525000
4845,3,1.5,1370,9720.0,2.0,0,0,3,7,1370,0,1968,0,98034,47.7302,-122.197,1510,8775.0,375000
4846,2,2.5,1414,1960.0,2.0,0,0,3,8,1414,0,1986,0,98006,47.5423,-122.189,1414,2511.0,428000
4847,5,3.25,4115,7910.0,2.0,0,0,3,9,4115,0,2014,0,98053,47.6847,-122.016,3950,6765.0,988830
4848,3,1.75,1550,6225.0,1.0,0,0,4,7,1550,0,1949,0,98002,47.3098,-122.218,1760,9496.0,199950
4849,4,2.25,2100,3671.0,1.5,0,0,3,8,1750,350,1929,0,98112,47.6359,-122.3,1800,4560.0,840000
4850,3,1.75,1160,7006.0,1.0,0,0,4,7,1160,0,1992,0,98022,47.1937,-121.98,1670,7750.0,285000
4851,5,2.5,3597,4972.0,2.0,0,0,3,7,3597,0,2006,0,98001,47.3002,-122.282,3193,6000.0,330000
4852,3,1.5,1230,10125.0,1.0,0,0,3,7,1230,0,1960,0,98198,47.397,-122.299,1970,10125.0,147500
4853,4,2.5,2190,7125.0,2.0,0,0,5,8,2190,0,1978,0,98032,47.3709,-122.285,2190,8075.0,320000
4854,3,1.75,1040,9000.0,1.0,0,0,4,7,1040,0,1967,0,98027,47.5253,-122.043,1750,10878.0,382500
4855,5,4.0,4690,8208.0,2.0,0,0,3,9,3040,1650,1926,0,98112,47.6321,-122.304,3300,8001.0,2050000
4856,4,2.25,2270,10000.0,1.0,0,0,5,8,1720,550,1974,0,98006,47.5599,-122.142,2270,10148.0,596000
4857,4,2.25,1950,7280.0,2.0,0,0,4,8,1950,0,1979,0,98023,47.2957,-122.37,1910,7280.0,220000
4858,3,2.5,1880,6818.0,2.0,0,0,3,8,1880,0,1993,0,98031,47.4206,-122.183,1970,7000.0,325000
4859,4,2.5,2850,5664.0,2.0,0,0,3,9,2850,0,2001,0,98075,47.5835,-121.996,2850,5475.0,679950
4860,2,1.0,1160,6911.0,1.0,0,0,3,7,1160,0,1947,0,98125,47.7149,-122.318,1120,6948.0,175000
4861,3,1.75,1370,10050.0,1.0,0,1,4,7,1370,0,1966,0,98023,47.3338,-122.341,1720,10050.0,268000
4869,4,2.0,1540,7575.0,1.0,0,0,4,7,1040,500,1978,0,98032,47.3664,-122.279,1720,7575.0,215000
4870,4,2.25,2130,7172.0,2.0,0,0,4,8,2130,0,1964,0,98008,47.6271,-122.112,1910,7653.0,593450
4871,2,1.75,1350,4614.0,1.0,0,0,3,8,1350,0,2008,0,98053,47.7091,-122.015,1680,4775.0,498800
4872,5,3.25,2450,6534.0,2.0,0,0,3,8,1770,680,1951,2014,98115,47.688,-122.281,1620,6534.0,849000
4873,4,2.5,1940,4875.0,2.0,0,0,4,9,1940,0,1925,0,98112,47.6427,-122.304,1790,4875.0,1150000
4874,5,2.5,2890,5110.0,2.0,0,2,3,9,2890,0,2003,0,98029,47.5453,-121.995,3010,5110.0,825000
4875,3,1.75,1680,9769.0,1.0,0,0,3,8,1340,340,1989,0,98058,47.4631,-122.126,1730,9686.0,265000
4876,4,2.25,1960,10400.0,1.0,0,0,4,8,1220,740,1985,0,98023,47.3199,-122.392,1650,8660.0,285000
4877,3,1.75,1590,7931.0,1.0,0,0,3,7,1190,400,1979,0,98038,47.3628,-122.05,1680,7931.0,240000
4878,4,1.0,1390,17739.0,1.0,0,0,3,7,1390,0,1958,0,98003,47.3457,-122.302,1230,7840.0,261000
4879,4,1.75,2440,7350.0,1.0,0,0,3,8,1610,830,1978,0,98032,47.3743,-122.285,2180,7680.0,330000
4880,4,2.0,1850,7560.0,1.0,0,0,4,7,1540,310,1978,0,98032,47.3666,-122.277,1620,7658.0,250000
4881,4,2.5,2800,9538.0,2.0,0,0,3,8,2800,0,1993,0,98003,47.2675,-122.307,1970,7750.0,350000
4883,3,2.0,1910,8050.0,1.0,0,0,4,7,1000,910,1980,0,98030,47.37,-122.17,1780,7344.0,275000
4884,4,2.25,2460,7620.0,1.0,0,0,3,7,1230,1230,1969,0,98106,47.5285,-122.345,2090,7620.0,325000
4885,1,1.0,810,5000.0,1.0,0,1,3,7,590,220,1936,0,98106,47.5696,-122.36,1920,5000.0,255000
4886,3,1.5,1900,5250.0,1.0,0,0,4,7,1500,400,1943,0,98117,47.6991,-122.392,1810,5250.0,562200
4888,3,2.5,2200,7350.0,1.0,0,0,5,8,1570,630,1988,0,98058,47.4395,-122.161,2350,7557.0,365000
4889,3,1.5,1190,11996.0,1.0,0,0,4,7,1190,0,1969,0,98077,47.7561,-122.071,1190,9756.0,332900
4891,4,2.5,2400,3986.0,2.0,0,0,3,8,2400,0,1999,0,98065,47.5344,-121.877,2070,3986.0,487275
4892,3,2.5,1670,5791.0,2.0,0,0,3,7,1670,0,1995,0,98055,47.4424,-122.188,1610,6034.0,310000
4893,2,1.0,990,4800.0,1.0,0,0,3,6,990,0,1908,0,98118,47.5615,-122.28,1700,5400.0,245000
4894,3,1.75,2920,10573.0,1.0,0,0,4,7,2920,0,1964,0,98055,47.4429,-122.195,1560,10572.0,325000
4895,3,1.75,1840,9401.0,1.0,0,0,3,8,1840,0,1971,0,98075,47.5847,-122.075,2850,14323.0,550000
4896,2,1.0,910,4500.0,1.5,0,0,4,7,910,0,1906,0,98118,47.5633,-122.289,1270,3500.0,350000
4898,3,1.5,1240,9500.0,1.0,0,0,4,7,1240,0,1955,0,98166,47.4756,-122.35,1845,10125.0,259950
4899,4,2.5,1980,7264.0,2.0,0,0,3,7,1980,0,1996,0,98038,47.3678,-122.019,1600,6380.0,240000
4900,3,1.0,1200,10080.0,1.0,0,0,4,7,1200,0,1969,0,98042,47.3261,-122.135,1230,9800.0,186000
4901,3,1.5,1280,15028.0,1.0,0,0,3,7,1280,0,1982,0,98074,47.6304,-122.035,1470,13698.0,395000
4902,4,2.5,3150,5757.0,2.0,0,0,3,9,3150,0,2004,0,98058,47.4568,-122.117,3100,5757.0,475000
4903,5,3.5,3500,10794.0,2.0,0,0,3,10,3500,0,1996,0,98075,47.5887,-121.974,3110,10837.0,815000
4904,3,1.5,1680,13751.0,1.0,0,0,4,7,1680,0,1951,0,98040,47.5716,-122.227,1760,13500.0,572000
4905,3,2.5,1360,3188.0,2.0,0,0,3,7,1360,0,1986,0,98052,47.6831,-122.096,1090,3188.0,419500
4906,3,2.25,2110,7350.0,1.0,0,0,3,8,1530,580,1980,0,98023,47.3088,-122.341,2640,7777.0,298700
4907,2,1.0,2034,13392.0,1.0,1,4,5,7,1159,875,1947,0,98070,47.3312,-122.503,1156,15961.0,549000
4908,3,1.5,1900,9994.0,1.0,0,0,3,7,1120,780,1960,0,98168,47.4729,-122.301,1900,9994.0,278000
4909,4,2.0,2380,4500.0,1.5,0,0,3,6,1470,910,1926,2014,98118,47.5652,-122.281,1300,4500.0,455000
4910,5,3.5,4050,13495.0,1.0,0,2,4,9,2230,1820,1988,0,98166,47.4384,-122.352,3210,13495.0,925000
4911,2,1.5,1120,1201.0,3.0,0,0,3,8,1120,0,1999,0,98103,47.6524,-122.353,1370,1298.0,465000
4912,4,4.0,2850,2970.0,2.0,0,0,3,8,2120,730,1999,0,98029,47.547,-122.01,2380,3559.0,620000
4913,4,2.25,2360,7650.0,1.0,0,0,3,8,1640,720,1963,0,98155,47.75,-122.292,2320,11060.0,499900
4914,5,3.0,2540,11422.0,1.0,0,0,3,8,1270,1270,1962,2014,98006,47.5459,-122.176,2090,10741.0,620000
4915,3,1.75,1160,6120.0,1.0,0,0,3,7,1040,120,1941,0,98115,47.6926,-122.287,1530,6120.0,450000
4916,4,3.5,2710,2147.0,2.0,0,0,3,10,2220,490,2007,0,98029,47.5468,-121.994,2650,2252.0,690000
4919,3,2.0,1870,9527.0,1.0,0,0,4,7,1870,0,1951,1997,98040,47.5777,-122.224,1970,11904.0,832500
4920,3,1.0,1010,9678.0,1.0,0,0,5,7,1010,0,1955,0,98188,47.4396,-122.285,1010,9375.0,245000
4922,4,2.75,2420,6495.0,2.0,0,0,3,8,2420,0,2005,0,98038,47.3771,-122.029,2420,6200.0,369000
4923,4,3.25,3830,8331.0,2.0,0,0,3,9,3830,0,2014,0,98053,47.6906,-122.019,4080,8425.0,1050000
4924,3,3.0,3040,5067.0,3.0,0,2,3,10,3040,0,1993,0,98118,47.5409,-122.267,1820,5998.0,653000
4925,2,1.75,1460,10500.0,1.0,0,0,3,7,1460,0,1980,0,98045,47.4461,-121.768,1340,9600.0,220650
4926,5,3.0,1940,6355.0,1.0,0,0,3,8,1200,740,2007,0,98168,47.498,-122.322,1940,5033.0,300000
4928,4,2.5,1950,5451.0,2.0,0,0,3,7,1950,0,2004,0,98058,47.4341,-122.144,2240,6221.0,360000
4929,3,2.5,2450,5760.0,2.0,0,0,3,9,2450,0,2000,0,98074,47.6145,-122.026,2450,5762.0,672500
4930,4,1.5,1730,7020.0,1.5,0,0,4,5,1730,0,1953,0,98056,47.4939,-122.167,1110,7020.0,268000
4931,4,1.5,1690,3245.0,1.5,0,0,3,8,1690,0,1929,0,98126,47.5445,-122.375,1380,1590.0,440000
4932,3,2.5,2550,7200.0,2.0,0,2,3,10,2550,0,1981,2013,98144,47.5996,-122.288,2030,3500.0,1400000
4933,4,2.5,2290,11072.0,2.0,0,0,3,9,2290,0,1986,0,98074,47.6283,-122.03,2340,9774.0,590000
4935,4,1.75,1880,7632.0,1.0,0,0,4,7,1180,700,1978,0,98023,47.3068,-122.372,1840,8528.0,266500
4936,4,2.5,2930,8679.0,2.0,0,0,3,8,2930,0,2014,0,98056,47.5164,-122.19,2030,7264.0,635000
4940,4,2.25,2440,9320.0,1.0,0,0,4,7,1880,560,1957,0,98007,47.5933,-122.135,1530,9335.0,650000
4941,4,1.75,2280,7840.0,1.0,0,0,3,7,1280,1000,1957,0,98055,47.4809,-122.224,2120,7260.0,312500
4942,3,1.0,900,6099.0,1.0,0,0,3,6,790,110,1944,0,98168,47.4807,-122.289,1240,6099.0,225000
4943,4,1.75,1980,8400.0,1.0,0,0,3,7,1330,650,1968,0,98052,47.6721,-122.152,1920,8400.0,425000
4945,5,2.25,2340,9225.0,2.0,0,0,3,8,2340,0,1973,0,98052,47.6369,-122.098,2140,9348.0,572000
4946,4,2.5,3110,5048.0,2.0,0,0,3,8,3110,0,2002,0,98042,47.3782,-122.125,3110,5190.0,386500
4947,2,1.0,980,5000.0,1.0,0,0,3,6,980,0,1904,0,98107,47.6744,-122.369,1270,4500.0,452000
4948,4,2.0,1480,6324.0,1.0,0,0,3,7,1480,0,1943,0,98122,47.6147,-122.302,1480,3600.0,278000
4950,2,1.75,2130,6574.0,1.0,0,0,3,8,1500,630,1946,0,98199,47.6529,-122.411,2130,6275.0,450000
4951,2,1.0,1270,5100.0,1.0,0,0,3,7,1100,170,1900,0,98115,47.6771,-122.328,1670,3900.0,611000
4952,2,2.5,1150,2064.0,2.0,0,0,3,7,1150,0,2004,0,98001,47.3516,-122.292,1880,2855.0,214100
4953,3,2.5,1840,5011.0,2.0,0,0,3,8,1840,0,2012,0,98038,47.3555,-122.054,2000,4793.0,317000
4954,4,3.5,3180,12528.0,2.0,0,1,4,9,2060,1120,1979,0,98177,47.7058,-122.379,2850,11410.0,1000000
4955,5,2.75,1510,5700.0,2.0,0,1,4,7,1510,0,1946,0,98105,47.6653,-122.27,2190,5700.0,1000000
4956,4,2.5,3070,7200.0,2.0,0,0,3,8,3070,0,2005,0,98059,47.4899,-122.138,2590,7200.0,525000
4957,3,2.25,1800,6680.0,2.0,0,0,3,8,1800,0,1983,0,98034,47.7293,-122.223,1630,8621.0,436000
4958,3,1.75,1540,9154.0,1.0,0,0,3,8,1540,0,1983,0,98074,47.6207,-122.042,1990,10273.0,450000
4959,3,1.75,2330,14892.0,1.0,0,0,3,8,1970,360,1980,0,98074,47.6267,-122.046,2570,14217.0,588500
4960,4,1.75,1400,8374.0,1.0,0,0,3,7,1400,0,1953,0,98166,47.4735,-122.344,1420,8360.0,340000
4963,3,2.5,3380,7126.0,2.0,0,0,3,8,3380,0,1965,2003,98008,47.6276,-122.122,1810,7308.0,749000
4964,3,1.5,1440,7875.0,1.0,0,0,4,8,1440,0,1968,0,98058,47.4561,-122.148,1800,8964.0,330000
4965,3,2.5,1740,1279.0,3.0,0,0,3,8,1740,0,2008,0,98116,47.5891,-122.387,1740,1280.0,568000
4966,3,1.75,1470,8925.0,1.0,0,0,4,7,1470,0,1957,0,98022,47.2026,-122.0,1430,9282.0,239000
4967,3,2.5,2810,4932.0,2.0,0,0,3,8,2810,0,2003,0,98011,47.7739,-122.227,2470,4919.0,528000
4968,4,3.0,2090,5102.0,1.0,0,0,3,7,1350,740,1994,0,98106,47.5427,-122.356,2090,5102.0,385000
4969,4,3.25,4110,14219.0,2.0,0,2,4,10,2570,1540,1979,0,98028,47.7382,-122.264,2760,12283.0,825000
4970,5,3.25,3230,5000.0,2.0,0,1,3,9,2350,880,2002,0,98136,47.5202,-122.393,1520,5000.0,815000
4972,3,1.75,2070,6000.0,1.0,0,3,3,8,1340,730,1955,0,98136,47.5226,-122.382,2200,6000.0,690000
4973,3,1.0,1660,7440.0,1.0,0,0,3,7,1270,390,1957,0,98106,47.5242,-122.362,1540,7440.0,210000
4974,4,1.0,1590,4280.0,1.5,0,0,3,7,1590,0,1924,0,98103,47.667,-122.335,2230,4280.0,599000
4975,3,1.75,1860,5584.0,1.0,0,0,3,8,1310,550,1951,0,98199,47.637,-122.4,1630,6022.0,860000
4976,3,1.0,1420,9600.0,1.0,0,0,4,6,1420,0,1954,0,98188,47.4232,-122.292,1400,8415.0,147200
4977,3,1.0,1240,5758.0,1.5,0,0,4,6,960,280,1910,0,98116,47.5675,-122.396,1460,5750.0,476900
4979,4,2.5,2640,11816.0,2.0,0,0,3,8,2640,0,1999,0,98019,47.733,-121.968,2400,11816.0,570000
4980,3,1.0,1440,3060.0,1.5,0,0,4,7,1440,0,1910,0,98115,47.6769,-122.307,1440,3570.0,567500
4982,3,1.5,1820,12686.0,1.0,0,0,4,7,1820,0,1952,0,98004,47.5886,-122.195,3020,11550.0,875000
4983,3,2.0,2220,10275.0,2.0,0,0,3,9,1640,580,1980,0,98027,47.5304,-122.055,2300,9975.0,490000
4984,3,1.75,2430,9133.0,1.0,0,0,4,7,1410,1020,1978,0,98059,47.5116,-122.157,1980,9592.0,335000
4985,3,1.75,1670,10798.0,1.0,0,0,4,8,1670,0,1962,0,98006,47.549,-122.17,2290,10798.0,550000
4986,3,1.75,1180,10541.0,1.0,0,0,4,7,940,240,1981,0,98074,47.6348,-122.032,1230,10879.0,385000
4987,3,1.75,1620,8085.0,1.0,0,0,3,7,1210,410,1976,0,98011,47.7349,-122.197,1700,8085.0,395000
4988,2,1.0,1030,5750.0,1.0,0,0,5,8,1030,0,1928,0,98116,47.5861,-122.391,1570,5750.0,650000
4989,4,2.75,2900,5803.0,2.0,0,0,3,9,2900,0,2007,0,98028,47.7368,-122.232,2900,6212.0,637000
4990,3,2.25,3420,9900.0,1.0,0,0,3,9,1710,1710,1963,2004,98028,47.7412,-122.256,2290,10700.0,692500
4992,3,1.5,1580,10517.0,1.0,0,0,4,6,1580,0,1957,0,98002,47.2903,-122.214,1400,10658.0,233500
4993,3,2.0,1230,11413.0,1.0,0,0,3,7,990,240,1984,0,98074,47.6321,-122.034,1570,11517.0,400000
4994,5,2.5,2200,4080.0,1.5,0,0,5,7,1420,780,1916,0,98103,47.6872,-122.35,1300,4080.0,547000
4997,3,1.0,1090,6435.0,1.0,0,0,4,7,1090,0,1955,0,98106,47.5334,-122.365,1340,6435.0,365000
4999,3,1.75,1970,8000.0,1.0,0,0,4,8,1970,0,1968,0,98052,47.6324,-122.1,1910,8000.0,525000
5000,4,3.0,3220,8936.0,2.0,0,0,3,9,2450,770,1990,0,98031,47.4208,-122.213,2810,10500.0,430000
5001,3,1.0,1600,7500.0,1.0,0,0,3,7,1600,0,1966,0,98034,47.7198,-122.182,2050,7200.0,325000
5002,2,1.0,670,6300.0,1.0,0,0,5,6,670,0,1942,0,98126,47.5161,-122.374,760,6300.0,279000
5003,4,1.75,2360,4750.0,2.0,0,0,5,7,1660,700,1911,0,98115,47.6729,-122.293,1810,4750.0,805000
5004,3,3.0,2150,3962.0,1.5,0,0,3,7,1540,610,1949,0,98125,47.7183,-122.285,1730,4609.0,419950
5005,2,1.0,620,4455.0,1.0,0,0,3,6,620,0,1927,0,98117,47.6877,-122.395,1180,5000.0,425000
5006,4,1.75,1730,5922.0,2.0,0,0,5,7,1730,0,1949,0,98125,47.7188,-122.321,1700,6127.0,446000
5007,5,2.0,2500,7860.0,1.0,0,0,3,7,1040,1460,1963,0,98034,47.7212,-122.226,2060,9684.0,455000
5008,3,1.0,990,4440.0,1.0,0,0,3,6,990,0,1943,0,98106,47.522,-122.354,990,6771.0,226550
5009,3,2.0,1420,4080.0,1.5,0,0,5,8,1420,0,1904,0,98103,47.6801,-122.348,1220,3060.0,764000
5010,3,2.25,2170,15000.0,2.0,0,0,4,8,2170,0,1978,0,98042,47.3863,-122.158,2430,14256.0,439950
5011,4,2.0,1880,5100.0,1.0,0,0,3,8,1880,0,1952,0,98103,47.6872,-122.349,1610,4590.0,453000
5012,3,1.0,1300,9620.0,1.0,0,0,3,7,1300,0,1971,0,98003,47.282,-122.331,1420,9620.0,219950
5013,3,1.5,2360,6750.0,2.0,0,0,5,7,1930,430,1926,0,98103,47.6923,-122.332,1320,4500.0,702500
5014,3,1.5,1780,12231.0,1.0,0,0,4,8,1780,0,1956,0,98003,47.335,-122.321,2460,12663.0,285000
5015,2,2.25,2160,2578.0,3.0,0,0,3,8,2160,0,2005,0,98103,47.6607,-122.354,1800,2142.0,798750
5016,2,1.0,950,5316.0,1.0,0,2,3,7,950,0,1948,0,98126,47.57,-122.38,1620,6085.0,320000
5017,3,1.75,1680,14630.0,1.5,0,0,3,8,1680,0,1985,0,98027,47.5272,-122.044,1920,14630.0,425000
5018,4,2.5,2290,4450.0,2.0,0,0,3,9,2290,0,2004,0,98072,47.7385,-122.169,2570,5096.0,540000
5019,4,5.25,4140,14757.0,2.0,0,2,3,11,4140,0,2005,0,98075,47.5871,-121.969,4440,15523.0,1060000
5020,4,3.75,3920,4500.0,3.0,0,0,3,8,3920,0,2013,0,98103,47.6805,-122.346,2040,3000.0,1170000
5021,3,1.75,1500,13891.0,1.0,0,0,4,7,1500,0,1951,0,98005,47.5866,-122.175,2020,13891.0,576000
5022,3,1.75,1720,7200.0,1.0,0,0,3,7,1140,580,1977,0,98052,47.6977,-122.132,1700,8400.0,525000
5023,4,2.5,2641,8615.0,2.0,0,0,3,7,2641,0,1998,0,98031,47.4038,-122.213,2641,8091.0,324950
5025,3,2.5,2460,5400.0,1.0,0,0,4,8,1520,940,2001,0,98056,47.5231,-122.202,1745,5400.0,464000
5026,4,2.25,1995,7102.0,2.0,0,0,4,8,1995,0,1981,0,98023,47.2986,-122.37,1880,7950.0,266000
5028,3,1.75,1270,4800.0,1.0,0,0,3,7,1270,0,1952,2014,98126,47.5362,-122.376,1220,4800.0,415000
5029,4,2.75,3080,6731.0,2.0,0,3,3,9,3080,0,2003,0,98058,47.4522,-122.118,3080,6731.0,550000
5030,3,2.25,1670,7606.0,2.0,0,0,3,7,1670,0,1990,0,98022,47.1949,-121.982,1670,7433.0,235000
5031,3,2.0,1470,8089.0,1.0,0,0,3,7,1470,0,1987,0,98198,47.3878,-122.316,1530,7721.0,280000
5032,3,1.75,1730,7807.0,1.0,0,0,3,7,1260,470,1976,0,98034,47.7211,-122.169,1800,7650.0,459000
5033,3,1.0,1070,7615.0,1.0,0,0,4,7,1070,0,1969,0,98023,47.3189,-122.373,1240,6906.0,195000
5034,3,1.5,1660,8738.0,1.0,0,0,4,7,1080,580,1959,0,98002,47.3117,-122.208,1500,8466.0,235000
5035,4,2.25,2410,16650.0,1.0,0,0,4,8,2410,0,1965,0,98006,47.5706,-122.163,2720,11141.0,711800
5036,3,2.5,1040,1032.0,3.0,0,0,3,7,1040,0,2007,0,98107,47.6673,-122.377,1290,1275.0,440000
5037,2,1.0,970,3300.0,1.0,0,0,4,7,970,0,1916,0,98103,47.6609,-122.343,1060,3600.0,515000
5038,5,2.75,2910,9480.0,1.5,0,0,3,8,2910,0,1939,0,98105,47.6552,-122.278,2940,6600.0,1200000
5039,3,1.75,2340,12443.0,1.5,0,0,4,8,2340,0,1965,0,98006,47.5432,-122.177,1970,9600.0,560000
5040,3,1.75,1880,11249.0,1.0,0,0,3,7,1330,550,1985,0,98001,47.3295,-122.257,1870,14547.0,340000
5041,2,1.0,1110,3500.0,1.5,0,0,3,6,970,140,1912,0,98102,47.6453,-122.327,1884,1778.0,600000
5042,4,2.5,2790,7938.0,2.0,0,0,3,9,2790,0,1997,0,98074,47.6223,-122.026,2780,7779.0,764000
5043,4,2.0,1590,8779.0,1.0,0,0,3,8,1590,0,2001,0,98019,47.7408,-121.974,2090,9600.0,337000
5045,4,1.0,1200,7552.0,1.0,0,0,3,6,1060,140,1919,0,98126,47.5317,-122.37,1580,7680.0,249000
5047,3,2.25,1510,6000.0,1.0,0,0,4,7,1150,360,1993,0,98038,47.3484,-122.036,1510,6000.0,269950
5049,4,2.5,3070,4000.0,2.0,0,0,4,8,2070,1000,1940,0,98105,47.659,-122.281,2560,4000.0,1300000
5050,4,2.25,2110,7560.0,2.0,0,0,4,8,2110,0,1974,0,98034,47.7331,-122.183,2110,7560.0,475000
5051,3,2.0,2350,8459.0,1.5,0,0,3,9,2350,0,1989,0,98023,47.3043,-122.349,2430,8459.0,339000
5052,4,3.5,3270,15160.0,1.0,0,2,3,8,1660,1610,1997,0,98155,47.7437,-122.287,2790,15160.0,600000
5053,4,1.75,2220,4760.0,1.0,0,0,3,7,1320,900,1918,0,98106,47.5215,-122.348,940,4760.0,397500
5055,3,2.0,1760,9055.0,2.0,0,0,4,7,1760,0,1985,0,98052,47.6534,-122.128,2010,9383.0,460000
5056,4,2.75,2200,5207.0,1.0,0,0,5,7,1120,1080,1951,0,98133,47.74,-122.343,1210,6008.0,370000
5057,4,1.0,1550,7296.0,1.5,0,0,3,6,1550,0,1957,0,98106,47.5184,-122.366,1370,7680.0,250000
5059,2,2.25,1040,1516.0,2.0,0,0,3,8,1040,0,2008,0,98122,47.6037,-122.307,1560,1920.0,430000
5060,3,1.5,2560,4000.0,1.5,0,0,5,8,1660,900,1927,0,98112,47.6384,-122.279,2560,4000.0,1090000
5061,3,1.75,1850,8160.0,1.0,0,0,3,8,1850,0,1952,0,98177,47.7241,-122.363,1600,8160.0,670000
5062,3,1.5,2090,11895.0,1.0,0,0,3,7,1790,300,1954,0,98118,47.5362,-122.267,2180,11072.0,461550
5063,3,2.5,2010,2386.0,2.0,0,0,3,8,1390,620,2014,0,98029,47.5525,-121.998,1690,1870.0,479990
5064,4,2.5,2518,4663.0,2.0,0,0,3,8,2518,0,2005,0,98075,47.5894,-122.017,2280,4525.0,643000
5065,3,2.75,2810,12813.0,2.0,0,0,3,8,2040,770,1988,0,98052,47.6796,-122.114,1890,10336.0,607000
5066,3,2.5,2600,10092.0,1.0,0,0,3,9,2600,0,1984,0,98074,47.6223,-122.032,2440,9298.0,625000
5067,3,2.5,2060,8778.0,1.0,0,0,3,8,1160,900,1953,2010,98136,47.5245,-122.384,1990,7560.0,731100
5069,4,2.5,2130,10375.0,2.0,0,0,4,8,2130,0,1986,0,98058,47.4381,-122.16,2220,8508.0,435000
5070,3,3.0,2290,15600.0,1.0,0,0,3,8,1420,870,1948,1990,98001,47.3558,-122.29,1890,14143.0,465000
5071,3,1.0,1230,6380.0,1.5,0,0,3,7,1230,0,1927,0,98115,47.6947,-122.315,1250,6380.0,740000
5072,3,1.75,2020,9478.0,1.0,0,0,4,9,2020,0,1961,0,98040,47.5383,-122.238,3050,15594.0,740000
5073,3,2.0,1430,7280.0,1.0,0,0,3,7,990,440,1980,0,98030,47.3742,-122.18,1430,7280.0,250000
5074,2,2.5,2270,1763.0,3.0,0,0,3,7,1820,450,2009,0,98052,47.6757,-122.121,2180,1763.0,656000
5075,4,2.5,1910,8058.0,2.0,0,0,3,8,1910,0,1992,0,98031,47.3891,-122.172,1910,6500.0,300000
5077,4,2.5,2690,6124.0,2.0,0,0,3,7,2690,0,2007,0,98042,47.3343,-122.058,2300,6002.0,311000
5078,3,1.75,1330,7482.0,1.0,0,0,4,7,1330,0,1975,0,98034,47.7322,-122.207,1480,8096.0,360000
5079,4,2.5,3060,10043.0,1.0,0,0,4,8,1700,1360,1968,0,98133,47.7387,-122.337,1630,8296.0,475000
5080,3,3.25,1760,1778.0,3.0,0,0,3,8,1760,0,2008,0,98125,47.7201,-122.301,1520,1615.0,469950
5081,3,1.75,1570,8750.0,1.0,0,0,3,7,1570,0,1960,0,98148,47.4425,-122.333,1890,8825.0,240000
5082,2,1.0,960,8100.0,1.0,0,0,3,6,810,150,1936,0,98168,47.494,-122.304,960,12150.0,232000
5085,3,2.25,1960,7000.0,1.0,0,0,3,8,1600,360,1980,0,98058,47.4427,-122.126,1980,7140.0,355000
5086,4,2.0,1790,2250.0,1.0,0,2,4,7,840,950,1909,0,98103,47.6526,-122.345,1440,1545.0,475000
5087,3,2.5,2560,9825.0,2.0,0,0,4,9,2560,0,1988,0,98006,47.5497,-122.145,2710,12034.0,823000
5088,2,1.5,1010,3060.0,1.0,0,0,4,7,1010,0,1918,0,98103,47.6897,-122.354,1160,4080.0,395000
5089,4,3.75,2560,5250.0,2.0,0,0,3,7,1900,660,1963,2006,98133,47.7326,-122.342,1400,5250.0,499000
